longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value
-114.31;34.19;15.0;5612.0;1283.0;1015.0;472.0;1.4936;66900.0
-114.47;34.4;19.0;7650.0;1901.0;1129.0;463.0;1.82;80100.0
-114.56;33.69;17.0;720.0;174.0;333.0;117.0;1.6509;85700.0
-114.57;33.64;14.0;1501.0;337.0;515.0;226.0;3.1917;73400.0
-114.57;33.57;20.0;1454.0;326.0;624.0;262.0;1.925;65500.0
-114.58;33.63;29.0;1387.0;236.0;671.0;239.0;3.3438;74000.0
-114.58;33.61;25.0;2907.0;680.0;1841.0;633.0;2.6768;82400.0
-114.59;34.83;41.0;812.0;168.0;375.0;158.0;1.7083;48500.0
-114.59;33.61;34.0;4789.0;1175.0;3134.0;1056.0;2.1782;58400.0
-114.6;34.83;46.0;1497.0;309.0;787.0;271.0;2.1908;48100.0
-114.6;33.62;16.0;3741.0;801.0;2434.0;824.0;2.6797;86500.0
-114.6;33.6;21.0;1988.0;483.0;1182.0;437.0;1.625;62000.0
-114.61;34.84;48.0;1291.0;248.0;580.0;211.0;2.1571;48600.0
-114.61;34.83;31.0;2478.0;464.0;1346.0;479.0;3.212;70400.0
-114.63;32.76;15.0;1448.0;378.0;949.0;300.0;0.8585;45000.0
-114.65;34.89;17.0;2556.0;587.0;1005.0;401.0;1.6991;69100.0
-114.65;33.6;28.0;1678.0;322.0;666.0;256.0;2.9653;94900.0
-114.65;32.79;21.0;44.0;33.0;64.0;27.0;0.8571;25000.0
-114.66;32.74;17.0;1388.0;386.0;775.0;320.0;1.2049;44000.0
-114.67;33.92;17.0;97.0;24.0;29.0;15.0;1.2656;27500.0
-114.68;33.49;20.0;1491.0;360.0;1135.0;303.0;1.6395;44400.0
-114.73;33.43;24.0;796.0;243.0;227.0;139.0;0.8964;59200.0
-114.94;34.55;20.0;350.0;95.0;119.0;58.0;1.625;50000.0
-114.98;33.82;15.0;644.0;129.0;137.0;52.0;3.2097;71300.0
-115.22;33.54;18.0;1706.0;397.0;3424.0;283.0;1.625;53500.0
-115.32;32.82;34.0;591.0;139.0;327.0;89.0;3.6528;100000.0
-115.37;32.82;30.0;1602.0;322.0;1130.0;335.0;3.5735;71100.0
-115.37;32.82;14.0;1276.0;270.0;867.0;261.0;1.9375;80900.0
-115.37;32.81;32.0;741.0;191.0;623.0;169.0;1.7604;68600.0
-115.37;32.81;23.0;1458.0;294.0;866.0;275.0;2.3594;74300.0
-115.38;32.82;38.0;1892.0;394.0;1175.0;374.0;1.9939;65800.0
-115.38;32.81;35.0;1263.0;262.0;950.0;241.0;1.8958;67500.0
-115.39;32.76;16.0;1136.0;196.0;481.0;185.0;6.2558;146300.0
-115.4;32.86;19.0;1087.0;171.0;649.0;173.0;3.3182;113800.0
-115.4;32.7;19.0;583.0;113.0;531.0;134.0;1.6838;95800.0
-115.41;32.99;29.0;1141.0;220.0;684.0;194.0;3.4038;107800.0
-115.46;33.19;33.0;1234.0;373.0;777.0;298.0;1.0;40000.0
-115.48;32.8;21.0;1260.0;246.0;805.0;239.0;2.6172;88500.0
-115.48;32.68;15.0;3414.0;666.0;2097.0;622.0;2.3319;91200.0
-115.49;32.87;19.0;541.0;104.0;457.0;106.0;3.3583;102800.0
-115.49;32.69;17.0;1960.0;389.0;1691.0;356.0;1.899;64000.0
-115.49;32.67;29.0;1523.0;440.0;1302.0;393.0;1.1311;84700.0
-115.49;32.67;25.0;2322.0;573.0;2185.0;602.0;1.375;70100.0
-115.5;32.75;13.0;330.0;72.0;822.0;64.0;3.4107;142500.0
-115.5;32.68;18.0;3631.0;913.0;3565.0;924.0;1.5931;88400.0
-115.5;32.67;35.0;2159.0;492.0;1694.0;475.0;2.1776;75500.0
-115.51;33.24;32.0;1995.0;523.0;1069.0;410.0;1.6552;43300.0
-115.51;33.12;21.0;1024.0;218.0;890.0;232.0;2.101;46700.0
-115.51;32.99;20.0;1402.0;287.0;1104.0;317.0;1.9088;63700.0
-115.51;32.68;11.0;2872.0;610.0;2644.0;581.0;2.625;72700.0
-115.52;34.22;30.0;540.0;136.0;122.0;63.0;1.3333;42500.0
-115.52;33.13;18.0;1109.0;283.0;1006.0;253.0;2.163;53400.0
-115.52;33.12;38.0;1327.0;262.0;784.0;231.0;1.8793;60800.0
-115.52;32.98;32.0;1615.0;382.0;1307.0;345.0;1.4583;58600.0
-115.52;32.97;24.0;1617.0;366.0;1416.0;401.0;1.975;66400.0
-115.52;32.97;10.0;1879.0;387.0;1376.0;337.0;1.9911;67500.0
-115.52;32.77;18.0;1715.0;337.0;1166.0;333.0;2.2417;79200.0
-115.52;32.73;17.0;1190.0;275.0;1113.0;258.0;2.3571;63100.0
-115.52;32.67;6.0;2804.0;581.0;2807.0;594.0;2.0625;67700.0
-115.53;34.91;12.0;807.0;199.0;246.0;102.0;2.5391;40000.0
-115.53;32.99;25.0;2578.0;634.0;2082.0;565.0;1.7159;62200.0
-115.53;32.97;35.0;1583.0;340.0;933.0;318.0;2.4063;70700.0
